,Prozentanteil
Action,6.380947242340507
Indie,4.535468113079259
Adventure,4.3068192756829236
Multiplayer,3.9306809660984605
Singleplayer,3.3967711128311997
Open World,2.931464959910667
Free to Play,2.6760193927333917
RPG,2.658464084746892
Strategy,2.4633196431340707
FPS,2.16202893209772
Simulation,2.0628957367409635
First-Person,1.9906497624434274
Shooter,1.967698911989427
Co-op,1.9537293209048088
Survival,1.8775469760020522
Atmospheric,1.7070840305403538
Casual,1.685445303621427
Great Soundtrack,1.5137267916735808
Early Access,1.5011258811729615
Sandbox,1.493649039305
Story Rich,1.2825328870755945
Sci-fi,1.0648561171708217
Third Person,1.056112397406927
Horror,1.0160700067676165
Zombies,0.9706433850705906
Funny,0.9298431299756771
Online Co-Op,0.886543053318253
Massively Multiplayer,0.8619407370356257
Crafting,0.7870931384875129
Fantasy,0.7798764590446089
Comedy,0.7766187730264955
2D,0.740105542240141
Exploration,0.734936227968343
Difficult,0.7216792557001871
Anime,0.6796234341191256
Building,0.6767842702630615
Tactical,0.6610048536128247
Puzzle,0.6581656897567606
Platformer,0.6358595896605118
Stealth,0.6005227454918094
Female Protagonist,0.5695181712708063
Pixel Graphics,0.5674594946899153
Gore,0.5636814838216865
Moddable,0.5536708861618588
Team-Based,0.5478568215323092
Space,0.5382647460345308
Third-Person Shooter,0.5339211646770463
Racing,0.5280844772279264
Post-apocalyptic,0.5250077737663749
PvP,0.5210374689317991
Classic,0.49730613120262573
Survival Horror,0.4253655649692878
War,0.3902436375865026
Action RPG,0.38654480658676965
Turn-Based,0.37877386806439495
Realistic,0.373808159168729
Competitive,0.37078801275610307
Nudity,0.3657883696310818
Mature,0.35446564843618067
Point & Click,0.3510496026810756
Sports,0.3312659469669077
Military,0.3256328648939199
Visual Novel,0.31464948599257225
RTS,0.31082622948520305
Historical,0.3080549340878496
Replay Value,0.29480927322947875
Crime,0.2916647013092165
Hack and Slash,0.29004716970994493
Physics,0.2889725857803589
Dark,0.2867216152331208
Violent,0.28616735615365013
Rogue-like,0.2843688419978167
Choices Matter,0.27884887402268005
Turn-Based Strategy,0.27766117599524287
Medieval,0.27009384284900023
Cute,0.2691097501976952
Retro,0.26334093120728597
Psychological Horror,0.25753817798752143
Local Co-Op,0.2470185668873636
Arcade,0.24190580966449113
Dark Fantasy,0.24121581366759906
Parkour,0.23674780680247826
Fighting,0.2357863369707434
Robots,0.22777785884288124
Walking Simulator,0.22176018883719953
Character Customization,0.22000692032050653
Fast-Paced,0.21509776847376616
Memes,0.21366121943105645
MMORPG,0.2091140326974398
Family Friendly,0.2026212834807832
Management,0.19807409674716656
World War II,0.19189806700449324
Driving,0.19112889113910536
MOBA,0.18704547220667844
Base-Building,0.1855976117541836
VR,0.1853148265095557
Futuristic,0.1831091016014581
Multiple Endings,0.1778832302807345
JRPG,0.1703385199540621
Tower Defense,0.1694222957614677
Mystery,0.1675785359664938
Local Multiplayer,0.16614198692378407
Sexual Content,0.16583657885958594
Short,0.16218299349899346
e-sports,0.15978497462454885
City Builder,0.15244386967400858
Magic,0.15237600121529785
Cyberpunk,0.14764783192511938
Aliens,0.14431096603851015
Controller,0.1394696826504805
Dungeon Crawler,0.1328298851066174
Bullet Hell,0.12997940984076814
Grand Strategy,0.12928941384387607
Side Scroller,0.12370157741002877
Dragons,0.12121306725730324
Assassin,0.1191317678568419
Shoot 'Em Up,0.11690342012917404
Dinosaurs,0.1168921087193889
Destruction,0.11444884420580385
Relaxing,0.11170017162802066
Procedural Generation,0.1099469031113277
Metroidvania,0.10944920108078258
Dating Sim,0.10759412987602354
Beat 'em up,0.10723216476289985
Isometric,0.105784304310405
Steampunk,0.10567119021255382
Episodic,0.10542233919728129
Trading,0.10432513244812502
Top-Down,0.10215334176938275
Illuminati,0.10128236321592882
Economy,0.09895221280019492
Colorful,0.09685960198994846
Music,0.09461994285249549
Class-Based,0.09217667833891043
Superhero,0.09188258168449741
Rogue-lite,0.0904686554613579
Perma Death,0.08914522051649933
RPGMaker,0.08877194399359051
Animation & Modeling,0.08719965803345937
Loot,0.0870752325258231
Dark Humor,0.08635130229957567
Mod,0.0853785210580557
4X,0.08514098145256827
Card Game,0.08302574782275157
Heist,0.08243755451392554
Remake,0.08037887793303443
Ninja,0.08014133832754698
Resource Management,0.08003953563948094
Lore-Rich,0.07972281616549769
Romance,0.07912331144688654
Real-Time with Pause,0.07827495571300284
Dystopian ,0.07744922279868936
Education,0.07689496371921868
Detective,0.07670266975287171
Hacking,0.0764764415571694
Cartoony,0.07602398516576475
Flight,0.06832091510210074
Space Sim,0.06827566946296028
Puzzle-Platformer,0.06766485333456401
PvE,0.06760829628563843
Batman,0.0672915768116552
Surreal,0.0666694492734738
Tanks,0.06653371235605242
Turn-Based Combat,0.06592289622765615
4 Player Local,0.06573060226130917
Mechs,0.06550437406560686
Action-Adventure,0.06533470291883012
Hidden Object,0.06508585190355756
Quick-Time Events,0.06309504378137715
Hunting,0.06274439007803854
Utilities,0.06250685047255111
Pirates,0.06058391080908139
Choose Your Own Adventure,0.05795966373893447
Gun Customization,0.05668147443321636
Time Travel,0.05595754420696893
Cinematic,0.055391973717713136
Rhythm,0.05529017102964709
Kickstarter,0.05434001260769735
America,0.053751819298871316
Turn-Based Tactics,0.053683950840160616
Cartoon,0.05344641123467318
Science,0.053163625990045274
Cult Classic,0.05267723536928529
2D Fighter,0.05253018704207878
Underwater,0.05240576153444251
Soccer,0.05143298029292253
Linear,0.05138773465378206
Top-Down Shooter,0.05085609839388161
Blood,0.050335773543766275
Level Editor,0.049894628562146756
Board Game,0.04963446613708908
Narration,0.04955528626859327
LEGO,0.04885397886191608
Star Wars,0.048650373485783986
Comic Book,0.048186605684594236
Twin Stick Shooter,0.04637678011897567
Western,0.046116617693918005
Voxel,0.04543793310681104
Design & Illustration,0.04434072635765479
Warhammer 40K,0.04240647528439995
1990's,0.04216893567891251
Noir,0.042101067220201814
Clicker,0.041512873911375786
3D Platformer,0.04121877725696277
Swordplay,0.04083418932426882
Real-Time,0.03989534231210419
Psychological,0.03985009667296373
1980s,0.03934108323263351
Football,0.0388433812020884
Alternate History,0.03808551674648563
Lovecraftian,0.03757650330615541
Naval,0.03719191537346146
Minimalist,0.037146669734321
Based On A Novel,0.036965687177759145
Party-Based RPG,0.03673945898205683
Arena Shooter,0.03654716501570986
On-Rails Shooter,0.03555176095461964
Stylized,0.035449958266553595
Time Manipulation,0.03540471262741313
Demons,0.03535946698827267
Spectacle fighter,0.035302909939347094
Real Time Tactics,0.034986190465363845
Sniper,0.03461291394245501
Character Action Game,0.03376455820857131
Satire,0.0334025930954476
Political,0.03332341322695179
Agriculture,0.03325554476824109
Hex Grid,0.03282571119640668
Hand-drawn,0.03171719303746531
Cold War,0.031502276251548104
3D Vision,0.03133260510477137
Interactive Fiction,0.03102719704057324
Split Screen,0.030857525893796492
Offroad,0.030359823863251388
Vampire,0.029545402358723036
Trains,0.029477533900012343
Gothic,0.029296551343450484
God Game,0.02879884931290538
Games Workshop,0.02848212983892213
2.5D,0.02848212983892213
Drama,0.02828983587257516
Supernatural,0.027554594236542617
Politics,0.02711344925492309
Trading Card Game,0.027068203615782632
TrackIR,0.026581812995022637
CRPG,0.026547878765667294
Match 3,0.02644607607760125
Psychedelic,0.026140668013403118
Inventory Management,0.02569952303178359
Software,0.025575097524147314
Game Development,0.025201821001238488
Mythology,0.025122641132742672
World War I,0.024647561921767803
Bullet Time,0.024523136414131525
Rome,0.02430821962821432
Video Production,0.02428559680864409
Experimental,0.02303003032249621
Otome,0.022815113536579005
Horses,0.022498394062595756
Fishing,0.022453148423455294
Parody ,0.02240790278431483
Wargame,0.021944134983125075
Lara Croft,0.02158216987000136
Touch-Friendly,0.02152561282107578
Bowling,0.021242827576447878
Martial Arts,0.020926108102464633
Tactical RPG,0.020190866466432093
Dynamic Narration,0.019591361747820942
Score Attack,0.01911628253684607
Diplomacy,0.01851677781823492
Villain Protagonist,0.018494154998664688
Silent Protagonist,0.01764579926478099
Abstract,0.01761186503542564
Strategy RPG,0.016865311989607983
Mouse only,0.016458101237343804
Software Training,0.01639023277863311
Capitalism,0.016322364319922414
Crowdfunded,0.016288430090567064
Thriller,0.01615269317314567
Basketball,0.014840569638072216
GameMaker,0.014614341442369894
FMV,0.01413926223139502
Programming,0.013845165576982005
Audio Production,0.013686805839990381
Conspiracy,0.013471889054073177
Grid-Based Movement,0.012883695745247142
Co-op Campaign,0.01232943666577646
Benchmark,0.011594195029743917
Time Attack,0.011322721194901133
Movie,0.010564856739298361
Music-Based Procedural Generation,0.01048567687080255
Web Publishing,0.010180268806604414
Runner,0.009874860742406283
VR Only,0.009840926513050935
Typing,0.009784369464125356
Mars,0.009727812415199774
Text-Based,0.009659943956489078
Transhumanism,0.009241421794439786
Pinball,0.009196176155299322
Chess,0.008698474124754217
Nonlinear,0.008641917075828637
Photo Editing,0.008540114387762593
Modern,0.008427000289911432
Asynchronous Multiplayer,0.008031100947432371
6DOF,0.007454219048391455
Dark Comedy,0.006967828427631466
Sailing,0.006436192167731013
Golf,0.006402257938375666
Philisophical,0.006040292825251953
Mini Golf,0.005802753219764517
Documentary,0.005667016302343125
Mining,0.0054520995164259204
Wrestling,0.004829971978244539
NSFW,0.004784726339104075
Soundtrack,0.004603743782542219
Word Game,0.004434072635765479
Gambling,0.004377515586839898
Werewolves,0.004241778669418507
Intentionally Awkward Controls,0.0041399759813524626
Investigation,0.004128664571567346
Sokoban,0.003246374608328297
Lemmings,0.0030880148713366726
Pool,0.00266949270928738
Experience,0.002036053761320883
Spelling,0.001911628253684607
Artificial Intelligence,0.00127818930571811
360 Video,0.0010632725198009057
Voice Control,0.0009840926513050934
Mystery Dungeon,0.0009388470121646294
Underground,0.000701307406677193
Tutorial,0.0006334389479664969
Gaming,0.0005768818990409169
Conversation,0.0005542590794706849
Cycling,0.0005203248501153368
Steam Machine,0.00046376780118975676
Hardware,0.00015835973699162423
Foreign,0.0001357369174213922
