developer,players_2weeks
Bethesda Game Studios,955927.75
CD PROJEKT RED,524736.5
ConcernedApe,336857.5
Larian Studios,307046.5
TaleWorlds Entertainment,264439.25
Obsidian Entertainment,250565.625
"Iron Lore Entertainment, THQ Nordic",140250.75
Red Hook Studios,138283.25
Zenimax Online Studios,126277.0
Crate Entertainment,121518.75
FromSoftware,84669.0
Piranha Bytes,82842.75
"FromSoftware, Inc",81949.0
Astronomic Games,79789.0
Gearbox Software,60912.25
Runic Games,58087.0
Ubisoft San Francisco,47161.75
BioWare,45126.5
Playa Games GmbH,41757.0
Defiant Development,34764.0
Primal,34626.25
Reality Pump Studios,31903.25
Beamdog,30677.0
Interplay Inc.,29609.75
"SQUARE ENIX CO., LTD.",28631.5
"BioWare, Aspyr (Mac)",28310.25
New Reality Games,27781.5
Capcom,27766.25
"Elias Viglione, Jussi Kukkonen",27608.0
"Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)",26786.75
