name,players_2weeks
The Elder Scrolls V: Skyrim,528357.25
The Witcher 3: Wild Hunt,432455.25
Stardew Valley,336857.5
The Elder Scrolls V: Skyrim Special Edition,317262.75
Divinity: Original Sin 2,246793.75
Mount & Blade: Warband,230835.75
Titan Quest Anniversary Edition,140250.75
Darkest Dungeon,138283.25
The Elder Scrolls Online: Tamriel Unlimited,126277.0
Grim Dawn,121518.75
Fallout: New Vegas,95696.875
DARK SOULS: Prepare To Die Edition,84669.0
South Park: The Stick of Truth,71886.25
DARK SOULS II: Scholar of the First Sin,63741.25
Borderlands,60912.25
Pillars of Eternity,60738.5
The Witcher 2: Assassins of Kings Enhanced Edition,54599.25
Torchlight II,53574.5
ELEX,50291.25
The Elder Scrolls IV: Oblivion Game of the Year Edition,49506.5
South Park: The Fractured But Whole,47161.75
Divinity: Original Sin - Enhanced Edition,45451.75
Shakes and Fidget,41757.0
The Witcher: Enhanced Edition Director's Cut,37682.0
Fallout 3: Game of the Year Edition,36068.75
Hand of Fate,34764.0
The I of the Dragon,34626.25
Fallout: A Post Nuclear Role Playing Game,29609.75
MOBIUS FINAL FANTASY,28631.5
STAR WARS - Knights of the Old Republic,28310.25
Dragon's Dogma: Dark Arisen,27766.25
Hero Siege,27608.0
STAR WARS Knights of the Old Republic II - The Sith Lords,26786.75
Two Worlds Epic Edition,26229.0
Mount & Blade: With Fire & Sword,25661.25
The Elder Scrolls III: Morrowind Game of the Year Edition,24732.5
Streets of Rogue,19104.0
Atonement: Scourge of Time,18731.5
Atonement 2: Ruptured by Despair,18688.75
Soda Dungeon,18313.0
DARK SOULS II,18207.75
City of Chains,17388.25
Elements: Soul of Fire,17266.75
Tyranny,16490.5
FINAL FANTASY VII,15434.25
Baldur's Gate: Enhanced Edition,15328.25
Invasion: Brain Craving,14530.75
Outrage,14240.0
Dragon Age: Origins - Ultimate Edition,14043.5
Kingdoms of Amalur: Reckoning,13729.75
Mass Effect,13304.25
Data Hacker: Reboot,13250.75
Jagged Alliance 2 - Wildfire,12786.75
RPG Maker VX Ace,12760.5
Dungeons 2,12519.75
BioShock 2 Remastered,12516.5
Fallout 2: A Post Nuclear Role Playing Game,12398.0
Enclave,12311.5
Disgaea PC /  PC,12147.75
Flesh Eaters,12086.0
Salt and Sanctuary,11419.5
Fairy Fencer F Advent Dark Force |   ADVENT DARK FORCE |  F ADVENT DARK FORCE,11167.0
Dungeons & Dragons Online,10746.25
Incitement 3,10740.5
Mass Effect 2,10513.5
Fable Anniversary,10260.25
Wurm Unlimited,10194.75
Lord of the Rings: War in the North,10130.25
Dungeon Defenders,9822.25
Battle Chasers: Nightwar,9459.0
The Incredible Adventures of Van Helsing: Final Cut,9277.0
Might & Magic: Heroes VI,9217.5
Drayt Empire,9206.5
Lords Of The Fallen,9096.0
Baldur's Gate II: Enhanced Edition,9033.0
Home Behind,8659.5
Final Quest II,8604.5
West of Loathing,8548.0
FINAL FANTASY VIII,8483.25
The Bard's Tale,8305.25
Gothic II: Gold Edition,8064.75
Mount & Blade,7942.25
Guild of Dungeoneering,7934.5
For The King,7751.75
Shadowrun Returns,7688.75
Victor Vran ARPG,7461.25
Deus Ex: Game of the Year Edition,7446.75
Magicite,7206.5
Memories of a Vagabond,6965.75
Vampire: The Masquerade - Bloodlines,6951.75
Secrets of Grindea,6894.5
Star Trek Timelines,6841.0
Shadowrun: Dragonfall - Director's Cut,6833.5
Dragon Age: Origins,6710.0
The Divine Paradox,6709.25
The Banner Saga,6656.75
Luna Online: Reborn,6655.0
Fable - The Lost Chapters,6603.75
Gothic 3,6482.25
Expeditions: Viking,6408.25
