Country,Name
Afghanistan,The Elder Scrolls V: Skyrim
Antarctica,The Elder Scrolls V: Skyrim
Argentina,The Witcher 3: Wild Hunt
Australia,The Elder Scrolls V: Skyrim
Austria,The Witcher 3: Wild Hunt
Belarus,The Witcher 3: Wild Hunt
Brazil,The Witcher 3: Wild Hunt
Canada,The Elder Scrolls V: Skyrim
Chile,The Elder Scrolls V: Skyrim
China,The Witcher 3: Wild Hunt
Colombia,The Witcher 3: Wild Hunt
Costa Rica,Stardew Valley
Denmark,The Elder Scrolls V: Skyrim
Ecuador,The Elder Scrolls Online
Estonia,The Elder Scrolls V: Skyrim
Finland,The Witcher 3: Wild Hunt
France,The Elder Scrolls V: Skyrim
Germany,The Elder Scrolls V: Skyrim
Greece,Stardew Valley
Holy See (Vatican City State),Mount & Blade: Warband
Hong Kong,The Witcher 3: Wild Hunt
Hungary,The Witcher 3: Wild Hunt
Iceland,The Elder Scrolls V: Skyrim
India,The Witcher 3: Wild Hunt
Indonesia,The Witcher 3: Wild Hunt
Ireland,The Elder Scrolls V: Skyrim
Israel,The Witcher 3: Wild Hunt
Italy,The Elder Scrolls V: Skyrim
Japan,The Elder Scrolls V: Skyrim
Kazakhstan,The Elder Scrolls V: Skyrim
Korea,The Witcher 3: Wild Hunt
Kyrgyz Republic,Gothic 1
Macedonia,Gothic 1
Malaysia,The Elder Scrolls Online
Mexico,The Witcher 3: Wild Hunt
Netherlands,The Elder Scrolls V: Skyrim
New Zealand,The Elder Scrolls V: Skyrim
Norway,The Elder Scrolls V: Skyrim
Philippines,The Witcher 3: Wild Hunt
Poland,The Elder Scrolls V: Skyrim
Romania,The Elder Scrolls V: Skyrim
Russia,The Witcher 3: Wild Hunt
Saudi Arabia,The Witcher 3: Wild Hunt
Singapore,The Witcher 3: Wild Hunt
Slovakia,The Witcher 3: Wild Hunt
South Africa,The Witcher 3: Wild Hunt
Spain,The Elder Scrolls V: Skyrim
Sweden,The Elder Scrolls V: Skyrim
Switzerland,The Elder Scrolls V: Skyrim
Taiwan,The Witcher 3: Wild Hunt
Thailand,Stardew Valley
Turkey,Mount & Blade: Warband
Uganda,Mount & Blade: Warband
United Kingdom,The Elder Scrolls V: Skyrim
United States,The Elder Scrolls V: Skyrim
United States Minor Outlying Islands,The Elder Scrolls V: Skyrim
Vietnam,The Witcher 3: Wild Hunt
Zimbabwe,The Elder Scrolls V: Skyrim
