Country,Name
Afghanistan,Counter-Strike: Global Offensive
Aland Islands,PLAYERUNKNOWN'S BATTLEGROUNDS
Albania,Counter-Strike: Global Offensive
Algeria,Counter-Strike: Global Offensive
American Samoa,PLAYERUNKNOWN'S BATTLEGROUNDS
Andorra,Counter-Strike: Global Offensive
Angola,Counter-Strike: Global Offensive
Antarctica,Counter-Strike: Global Offensive
Argentina,Counter-Strike: Global Offensive
Armenia,Counter-Strike: Global Offensive
Australia,PLAYERUNKNOWN'S BATTLEGROUNDS
Austria,Counter-Strike: Global Offensive
Azerbaijan,Counter-Strike: Global Offensive
Bahamas the,Counter-Strike: Global Offensive
Bangladesh,Dota 2
Belarus,Dota 2
Belgium,Counter-Strike: Global Offensive
Bolivia,Dota 2
Bosnia and Herzegovina,Counter-Strike: Global Offensive
Brazil,Counter-Strike: Global Offensive
Bulgaria,Counter-Strike: Global Offensive
Cambodia,Dota 2
Canada,PLAYERUNKNOWN'S BATTLEGROUNDS
Chile,Counter-Strike: Global Offensive
China,PLAYERUNKNOWN'S BATTLEGROUNDS
Christmas Island,Counter-Strike: Global Offensive
Colombia,Counter-Strike: Global Offensive
Costa Rica,Counter-Strike: Global Offensive
Croatia,Counter-Strike: Global Offensive
Cuba,Counter-Strike: Global Offensive
Czech Republic,Counter-Strike: Global Offensive
Denmark,Counter-Strike: Global Offensive
Dominican Republic,Counter-Strike: Global Offensive
Ecuador,Dota 2
Egypt,Counter-Strike: Global Offensive
Estonia,Counter-Strike: Global Offensive
Finland,Counter-Strike: Global Offensive
France,Counter-Strike: Global Offensive
"France, Metropolitan",PLAYERUNKNOWN'S BATTLEGROUNDS
Georgia,Counter-Strike: Global Offensive
Germany,Counter-Strike: Global Offensive
Greece,Counter-Strike: Global Offensive
Holy See (Vatican City State),Counter-Strike: Global Offensive
Hong Kong,PLAYERUNKNOWN'S BATTLEGROUNDS
Hungary,Counter-Strike: Global Offensive
Iceland,Counter-Strike: Global Offensive
India,Counter-Strike: Global Offensive
Indonesia,Dota 2
Iran,Dota 2
Iraq,Counter-Strike: Global Offensive
Ireland,Counter-Strike: Global Offensive
Israel,Counter-Strike: Global Offensive
Italy,Counter-Strike: Global Offensive
Jamaica,Counter-Strike: Global Offensive
Japan,PLAYERUNKNOWN'S BATTLEGROUNDS
Jordan,Dota 2
Kazakhstan,Dota 2
Korea,PLAYERUNKNOWN'S BATTLEGROUNDS
Kyrgyz Republic,Dota 2
Latvia,Counter-Strike: Global Offensive
Lebanon,Counter-Strike: Global Offensive
Lithuania,Counter-Strike: Global Offensive
Macedonia,Counter-Strike: Global Offensive
Malaysia,Dota 2
Mexico,Counter-Strike: Global Offensive
Moldova,Counter-Strike: Global Offensive
Mongolia,Dota 2
Morocco,Counter-Strike: Global Offensive
Myanmar,Dota 2
Netherlands,Counter-Strike: Global Offensive
New Zealand,Counter-Strike: Global Offensive
Niger,Counter-Strike: Global Offensive
Norway,Counter-Strike: Global Offensive
Pakistan,Dota 2
Peru,Dota 2
Philippines,Dota 2
Poland,Counter-Strike: Global Offensive
Portugal,Counter-Strike: Global Offensive
Puerto Rico,Counter-Strike: Global Offensive
Romania,Counter-Strike: Global Offensive
Russia,Counter-Strike: Global Offensive
Saudi Arabia,PLAYERUNKNOWN'S BATTLEGROUNDS
Serbia,Counter-Strike: Global Offensive
Singapore,Dota 2
Slovakia,Counter-Strike: Global Offensive
Slovenia,Counter-Strike: Global Offensive
South Africa,Counter-Strike: Global Offensive
Spain,Counter-Strike: Global Offensive
Sweden,Counter-Strike: Global Offensive
Switzerland,Counter-Strike: Global Offensive
Taiwan,PLAYERUNKNOWN'S BATTLEGROUNDS
Thailand,PLAYERUNKNOWN'S BATTLEGROUNDS
Tunisia,Counter-Strike: Global Offensive
Turkey,Counter-Strike: Global Offensive
Uganda,Counter-Strike: Global Offensive
Ukraine,Dota 2
United Arab Emirates,Counter-Strike: Global Offensive
United Kingdom,Counter-Strike: Global Offensive
United States,PLAYERUNKNOWN'S BATTLEGROUNDS
United States Minor Outlying Islands,Counter-Strike: Global Offensive
United States Virgin Islands,Counter-Strike: Global Offensive
Uruguay,Counter-Strike: Global Offensive
Uzbekistan,Dota 2
Venezuela,Dota 2
Vietnam,PLAYERUNKNOWN'S BATTLEGROUNDS
Zimbabwe,Counter-Strike: Global Offensive
